subj,is.analysis.group,roi,model,y,param,coef,beta,partr
DMCC6371570,FALSE,orig_premotor.R,tdi,rank,incongruency,12.316258071025,0.177272196258253,0.176945853262099
DMCC6418065,TRUE,orig_premotor.R,tdi,rank,target,-1.74873890234059,-0.0202116046149038,-0.0195916206190841
DMCC6418065,TRUE,orig_premotor.R,tdi,rank,distractor,3.11733252623082,0.0360295595809218,0.0349097781362059
DMCC6418065,TRUE,orig_premotor.R,tdi,rank,incongruency,4.84846650524617,0.0696959965820353,0.069530243008197
DMCC6484785,TRUE,orig_premotor.R,tdi,rank,target,-2.65358277845036,-0.0306784055494492,-0.0302400779070043
DMCC6484785,TRUE,orig_premotor.R,tdi,rank,distractor,0.285033292978191,0.00329530588911448,0.00324969218922056
DMCC6484785,TRUE,orig_premotor.R,tdi,rank,incongruency,-13.8429933414044,-0.199047975409445,-0.198448258392826
DMCC6661074,TRUE,orig_premotor.R,tdi,rank,target,1.89856360976594,0.0219317716875583,0.021289532439909
DMCC6661074,TRUE,orig_premotor.R,tdi,rank,distractor,5.24714991928977,0.0606138732715099,0.0587505692253304
DMCC6661074,TRUE,orig_premotor.R,tdi,rank,incongruency,-5.21723668280873,-0.0749577795786248,-0.074860469248002
DMCC6671683,TRUE,orig_premotor.R,tdi,rank,target,14.9014199959645,0.173256494517962,0.168420157272388
DMCC6671683,TRUE,orig_premotor.R,tdi,rank,distractor,-3.66480024213075,-0.0426100628820678,-0.0419838375289791
DMCC6671683,TRUE,orig_premotor.R,tdi,rank,incongruency,5.1503732849072,0.0744780306693212,0.0755446549045101
DMCC6705371,FALSE,orig_premotor.R,tdi,rank,target,5.61742080306699,0.0648666707760911,0.0723342538888616
DMCC6705371,FALSE,orig_premotor.R,tdi,rank,distractor,-0.829751815980639,-0.00958148583842878,-0.0107119735433112
DMCC6705371,FALSE,orig_premotor.R,tdi,rank,incongruency,34.9090496368039,0.501360698239927,0.500550802812791
DMCC6721369,TRUE,orig_premotor.R,tdi,rank,target,6.32573521993542,0.0730615430879628,0.0724911524520225
DMCC6721369,TRUE,orig_premotor.R,tdi,rank,distractor,2.87744652945923,0.0332341895899873,0.0330436594870776
DMCC6721369,TRUE,orig_premotor.R,tdi,rank,incongruency,-15.4245106941081,-0.221572999685135,-0.221706085476805
DMCC6904377,FALSE,orig_premotor.R,tdi,rank,target,12.5457274011299,0.144883819236874,0.141482566555817
