subj,roi,betas1,param,betas2
107321,ins_L,0.0144269476422843,diagonal,-0.0221466411504073
107321,ins_R,-0.0283785936045028,distractor,0.00125359736638909
107321,ins_R,0.00399420919049246,target,0.0379244761372141
107321,ins_R,-0.0208313014311388,congruency,-0.0185947494470035
107321,ins_R,0.0132931714766962,incongruency,0.0255002889232666
107321,ins_R,0.0168035501460491,diagonal,-0.0175648954508825
107321,lppc_L,-0.00526540447430332,distractor,-0.00814521064625909
107321,lppc_L,-0.00113818255245281,target,0.0105046940437763
107321,lppc_L,0.0246204337845199,congruency,0.000288668840850325
107321,lppc_L,-0.0655167472305155,incongruency,0.0496239417050298
107321,lppc_L,0.00414937527514526,diagonal,-0.0281964995885082
107321,lppc_R,-0.00163547857247438,distractor,0.00473466282417446
107321,lppc_R,0.0079669212748279,target,0.0409282305958467
