subj,is.analysis.group,roi.hemi,roi,hemi,model,y,param,coef,beta
448347,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0141324859057716,0.0400085636124308
580650,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.00773221453091306,0.0160894641746174
580650,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,0.0633369608101236,0.131793777553569
580650,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0109838507895311,0.028426272890097
594156,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0309060765064876,0.0842166051559975
594156,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,0.0253956485628663,0.0692011264273697
594156,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.1074953461796,0.364310030070711
601127,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0210787445769018,0.0428015580233107
601127,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0656267852880939,-0.133258821375431
601127,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.120022372767818,-0.30311306452036
765864,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0445365369786162,0.172622534466257
765864,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.00459569626207945,-0.0178128069719064
765864,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0512144340095489,0.246888597097638
814649,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0199308568262216,0.0582357752366004
814649,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,0.0212504605636406,0.0620915124647469
814649,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.138276690238439,0.502505104722408
843151,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0202098110559194,0.0677934166772604
843151,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,0.0095864265335784,0.0321574806730549
843151,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.0758244406471967,-0.316345815727655
849971,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.00471135155032336,0.017528800409674
849971,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0159101435236789,-0.0591944216722041
849971,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.0714454418577798,-0.330604546160456
873968,TRUE,Auditory_l,Auditory,l,tdi,z,target,-0.03453451215363,-0.103836493614357
873968,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.00799398649859247,-0.0240358839969044
873968,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.0415065454085747,-0.155217572741717
877168,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0597192310579051,0.144633670394925
877168,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,0.0524948926613568,0.127137085794653
877168,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0313093290485929,0.0943097452152194
DMCC1328342,FALSE,Auditory_l,Auditory,l,tdi,z,target,0.0242855518786712,0.0811908322658863
DMCC1328342,FALSE,Auditory_l,Auditory,l,tdi,z,distractor,0.0142706547904892,0.0477092859658896
DMCC1328342,FALSE,Auditory_l,Auditory,l,tdi,z,incongruency,0.111134362099371,0.462098956209822
DMCC1596165,FALSE,Auditory_l,Auditory,l,tdi,z,target,-0.0116617134964798,-0.0373989479373909
DMCC1596165,FALSE,Auditory_l,Auditory,l,tdi,z,distractor,0.00558860595749296,0.0179225791569971
DMCC1596165,FALSE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.00946621369156646,-0.0377573001343282
DMCC1971064,TRUE,Auditory_l,Auditory,l,tdi,z,target,-0.00587983561789699,-0.0155731043711945
DMCC1971064,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0052089067974862,-0.013796108341901
DMCC1971064,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.00401540463047051,-0.0132271700015065
DMCC2442951,TRUE,Auditory_l,Auditory,l,tdi,z,target,-0.00204374472244876,-0.00478123179656823
DMCC2442951,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,0.0027190235901168,0.006361010698592
DMCC2442951,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.00866627690987295,-0.0252158331734145
DMCC2803654,FALSE,Auditory_l,Auditory,l,tdi,z,target,0.0272577861109335,0.0664242444862259
DMCC2803654,FALSE,Auditory_l,Auditory,l,tdi,z,distractor,0.0180737285845449,0.0440437004455023
DMCC2803654,FALSE,Auditory_l,Auditory,l,tdi,z,incongruency,0.055371074202505,0.167821115426169
DMCC2834766,FALSE,Auditory_l,Auditory,l,tdi,z,target,0.0173756634986275,0.0458723821374806
DMCC2834766,FALSE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0128903928453076,-0.0340311048581775
DMCC2834766,FALSE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0467023910851711,0.153347472673108
DMCC3062542,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0338675282584594,0.116419327171728
DMCC3062542,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,0.000690767487079305,0.00237450709317039
DMCC3062542,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.0263949086602216,-0.112846828231815
DMCC4191255,FALSE,Auditory_l,Auditory,l,tdi,z,target,-0.00101440070888698,-0.00269979976246054
DMCC4191255,FALSE,Auditory_l,Auditory,l,tdi,z,distractor,-0.03224148147318,-0.0858098217598593
DMCC4191255,FALSE,Auditory_l,Auditory,l,tdi,z,incongruency,0.00953884853741045,0.0315751610210953
DMCC4260551,FALSE,Auditory_l,Auditory,l,tdi,z,target,0.00371802184188815,0.0106609559635472
DMCC4260551,FALSE,Auditory_l,Auditory,l,tdi,z,distractor,0.0247167185693685,0.0708720549359691
DMCC4260551,FALSE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0604186236029119,0.215467935444132
DMCC4854075,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0235311139629663,0.0603434008490006
DMCC4854075,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.00323663351783508,-0.00830005218093003
DMCC4854075,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0605532204015064,0.193131071918157
DMCC5009144,TRUE,Auditory_l,Auditory,l,tdi,z,target,-0.0321688941933646,-0.0707008567847247
DMCC5009144,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0783495668075352,-0.172196826807536
DMCC5009144,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.0565166933590213,-0.154487341384342
DMCC5195268,FALSE,Auditory_l,Auditory,l,tdi,z,target,0.0837462843026363,0.36169416404035
DMCC5195268,FALSE,Auditory_l,Auditory,l,tdi,z,distractor,0.00519594962408082,0.022440931813599
DMCC5195268,FALSE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.000824661095368606,-0.00442974851438799
