subj,is.analysis.group,roi,model,y,param,coef,beta,partr
DMCC1328342,FALSE,smmouth_R,all,rank,orthog,73.6452535102831,0.789221477448635,0.132671659427313
DMCC1328342,FALSE,smmouth_R,all,rank,dphono,-0.0771273858061946,-0.0219857535998913,-0.0145366759638772
DMCC1328342,FALSE,smmouth_R,all,rank,incongruency,31.0755654761905,0.446688601286999,0.46336709505263
DMCC1328342,FALSE,smmouth_R,all,rank,congruency,-24.6118154761905,-0.154984648815147,-0.171676864418784
DMCC1596165,FALSE,smmouth_R,all,rank,target,2.6976269323238,0.031190600968622,0.0150136748552683
DMCC1596165,FALSE,smmouth_R,all,rank,cielab,-0.00277945672403088,-0.409434689257122,-0.222381061797176
DMCC1596165,FALSE,smmouth_R,all,rank,tphono,0.818639722295621,0.233458232347907,0.104564862474641
DMCC1596165,FALSE,smmouth_R,all,rank,distractor,-118.523373167675,-1.37039528840392,-0.0410273149182938
DMCC1596165,FALSE,smmouth_R,all,rank,silhou,174.435289079776,1.09315702185232,0.0705750035053646
DMCC1596165,FALSE,smmouth_R,all,rank,orthog,53.8885421804645,0.577742349224315,0.0613760145213134
DMCC1596165,FALSE,smmouth_R,all,rank,dphono,-1.57187293296139,-0.448263951052413,-0.185457498630295
DMCC1596165,FALSE,smmouth_R,all,rank,incongruency,-4.83906250000001,-0.0695874136654186,-0.0698921084589541
DMCC1596165,FALSE,smmouth_R,all,rank,congruency,-9.74322916666663,-0.0613806643732626,-0.0641857953996602
DMCC1971064,TRUE,smmouth_R,all,rank,target,19.9971665438271,0.231039650812144,0.098264389383394
DMCC1971064,TRUE,smmouth_R,all,rank,cielab,-0.00324019650765021,-0.47694936024319,-0.271280732138126
DMCC1971064,TRUE,smmouth_R,all,rank,tphono,0.493766263376304,0.140706446306816,0.0724798602365741
DMCC1971064,TRUE,smmouth_R,all,rank,distractor,-218.902355158172,-2.52911449163842,0.0759709522079555
DMCC1971064,TRUE,smmouth_R,all,rank,silhou,478.079859722985,2.99381424137615,0.231919061948467
DMCC1971064,TRUE,smmouth_R,all,rank,orthog,23.9870716393411,0.256975193831563,-0.0136515469877753
DMCC1971064,TRUE,smmouth_R,all,rank,dphono,-2.24290579444934,-0.639151208063425,-0.275572929125476
DMCC1971064,TRUE,smmouth_R,all,rank,incongruency,11.1800595238095,0.160653348509771,0.174988746904662
DMCC1971064,TRUE,smmouth_R,all,rank,congruency,2.21577380952388,0.0139485895228833,0.0193051256254167
DMCC2442951,TRUE,smmouth_R,all,rank,target,-11.7491732606,-0.137402030292627,0.022779416951521
DMCC2442951,TRUE,smmouth_R,all,rank,cielab,8.81706042073362e-05,0.0131368888007729,0.132243646426909
DMCC2442951,TRUE,smmouth_R,all,rank,tphono,1.8933085704302,0.546112060720776,0.233561406555157
DMCC2442951,TRUE,smmouth_R,all,rank,distractor,-2.67671349488135,-0.0313031275095945,0.0224026282741843
DMCC2442951,TRUE,smmouth_R,all,rank,silhou,19.3804044082747,0.122844303598741,0.00608083171977395
DMCC2442951,TRUE,smmouth_R,all,rank,orthog,-3.26315078449725,-0.0353849754189886,-0.00915935821529044
