subj,is.analysis.group,roi,param,taua
182436,TRUE,vwfa,congruency,-0.0190476190476191
197449,TRUE,vwfa,congruency,-0.0179271708683473
203418,TRUE,vwfa,congruency,-0.0224089635854342
204319,TRUE,vwfa,congruency,-0.0210084033613445
233326,FALSE,vwfa,congruency,-0.02296918767507
300618,TRUE,vwfa,congruency,-0.0473389355742297
317332,TRUE,vwfa,congruency,0.0218487394957983
346945,TRUE,vwfa,congruency,-0.0400560224089636
352738,TRUE,vwfa,congruency,0.0168067226890756
393550,FALSE,vwfa,congruency,0.049859943977591
448347,TRUE,vwfa,congruency,0.0448179271708684
580650,TRUE,vwfa,congruency,0.0145658263305322
594156,TRUE,vwfa,congruency,-0.0313725490196078
601127,TRUE,vwfa,congruency,0.046218487394958
765864,TRUE,vwfa,congruency,-0.0226890756302521
814649,TRUE,vwfa,congruency,-0.0294117647058824
843151,TRUE,vwfa,congruency,0.00140056022408964
849971,TRUE,vwfa,congruency,0.0355742296918768
873968,TRUE,vwfa,congruency,0.02296918767507
877168,TRUE,vwfa,congruency,0.0226890756302521
DMCC1328342,FALSE,vwfa,congruency,-0.0282913165266106
DMCC1596165,FALSE,vwfa,congruency,-0.00280112044817927
DMCC1971064,TRUE,vwfa,congruency,-0.00532212885154062
DMCC2442951,TRUE,vwfa,congruency,-0.00980392156862745
DMCC2803654,FALSE,vwfa,congruency,-0.0173669467787115
DMCC2834766,FALSE,vwfa,congruency,-0.00588235294117647
DMCC3062542,TRUE,vwfa,congruency,-0.0109243697478992
DMCC4191255,FALSE,vwfa,congruency,-0.0481792717086835
DMCC4260551,FALSE,vwfa,congruency,-0.0375350140056022
DMCC4854075,TRUE,vwfa,congruency,-0.0123249299719888
DMCC5009144,TRUE,vwfa,congruency,-0.00448179271708684
DMCC5195268,FALSE,vwfa,congruency,0.00392156862745098
DMCC5775387,FALSE,vwfa,congruency,0.0201680672268908
DMCC6371570,FALSE,vwfa,congruency,-0.011484593837535
DMCC6418065,TRUE,vwfa,congruency,0.0240896358543417
DMCC6484785,TRUE,vwfa,congruency,0.0378151260504202
DMCC6661074,TRUE,vwfa,congruency,0.0330532212885154
DMCC6671683,TRUE,vwfa,congruency,-0.00896358543417367
DMCC6705371,FALSE,vwfa,congruency,-0.0526610644257703
DMCC6721369,TRUE,vwfa,congruency,0.0271708683473389
DMCC6904377,FALSE,vwfa,congruency,-0.00812324929971989
DMCC7297690,TRUE,vwfa,congruency,0.0271708683473389
DMCC7921988,TRUE,vwfa,congruency,-0.00588235294117647
DMCC8033964,TRUE,vwfa,congruency,-0.0473389355742297
DMCC8050964,TRUE,vwfa,congruency,0.0492997198879552
DMCC8078683,FALSE,vwfa,congruency,-0.000560224089635854
DMCC9441378,TRUE,vwfa,congruency,-0.0117647058823529
DMCC9478705,TRUE,vwfa,congruency,-0.042296918767507
DMCC9953810,TRUE,vwfa,congruency,-0.0507002801120448
107321,TRUE,vwfa,incongruency,-0.084593837535014
115825,FALSE,vwfa,incongruency,0.160224089635854
123117,TRUE,vwfa,incongruency,-0.165826330532213
130114,TRUE,vwfa,incongruency,-0.0823529411764706
130518,FALSE,vwfa,incongruency,0.0946778711484594
132017,TRUE,vwfa,incongruency,-0.0369747899159664
138837,TRUE,vwfa,incongruency,0.0392156862745098
141422,TRUE,vwfa,incongruency,0.0338935574229692
150423,TRUE,vwfa,incongruency,-0.0719887955182073
158136,TRUE,vwfa,incongruency,-0.150700280112045
160830,TRUE,vwfa,incongruency,-0.0641456582633053
161832,TRUE,vwfa,incongruency,-0.0092436974789916
165032,TRUE,vwfa,incongruency,0.0977591036414566
171330,TRUE,vwfa,incongruency,-0.0627450980392157
178243,TRUE,vwfa,incongruency,0.0257703081232493
178647,FALSE,vwfa,incongruency,-0.0929971988795518
178950,TRUE,vwfa,incongruency,-0.0417366946778711
182436,TRUE,vwfa,incongruency,0.0591036414565826
197449,TRUE,vwfa,incongruency,0.0168067226890756
203418,TRUE,vwfa,incongruency,-0.0179271708683473
204319,TRUE,vwfa,incongruency,0.0103641456582633
233326,FALSE,vwfa,incongruency,0.0638655462184874
300618,TRUE,vwfa,incongruency,0.171148459383754
317332,TRUE,vwfa,incongruency,-0.0977591036414566
346945,TRUE,vwfa,incongruency,0.205322128851541
352738,TRUE,vwfa,incongruency,-0.0733893557422969
393550,FALSE,vwfa,incongruency,-0.104481792717087
448347,TRUE,vwfa,incongruency,-0.199439775910364
580650,TRUE,vwfa,incongruency,-0.0602240896358543
594156,TRUE,vwfa,incongruency,0.200560224089636
601127,TRUE,vwfa,incongruency,-0.135014005602241
765864,TRUE,vwfa,incongruency,0.0319327731092437
814649,TRUE,vwfa,incongruency,0.187955182072829
843151,TRUE,vwfa,incongruency,-0.0733893557422969
849971,TRUE,vwfa,incongruency,-0.0938375350140056
873968,TRUE,vwfa,incongruency,-0.0829131652661064
877168,TRUE,vwfa,incongruency,-0.0946778711484594
DMCC1328342,FALSE,vwfa,incongruency,0.0372549019607843
DMCC1596165,FALSE,vwfa,incongruency,-0.0100840336134454
DMCC1971064,TRUE,vwfa,incongruency,0.108403361344538
DMCC2442951,TRUE,vwfa,incongruency,-0.0226890756302521
DMCC2803654,FALSE,vwfa,incongruency,0.0235294117647059
DMCC2834766,FALSE,vwfa,incongruency,0.00252100840336135
DMCC3062542,TRUE,vwfa,incongruency,0.00980392156862745
DMCC4191255,FALSE,vwfa,incongruency,0.139495798319328
DMCC4260551,FALSE,vwfa,incongruency,0.0380952380952381
DMCC4854075,TRUE,vwfa,incongruency,0.0823529411764706
DMCC5009144,TRUE,vwfa,incongruency,0.0123249299719888
DMCC5195268,FALSE,vwfa,incongruency,0.0030812324929972
DMCC5775387,FALSE,vwfa,incongruency,-0.0896358543417367
DMCC6371570,FALSE,vwfa,incongruency,-0.00560224089635854
DMCC6418065,TRUE,vwfa,incongruency,-0.0971988795518207
DMCC6484785,TRUE,vwfa,incongruency,-0.193837535014006
DMCC6661074,TRUE,vwfa,incongruency,0.0112044817927171
DMCC6671683,TRUE,vwfa,incongruency,0.229411764705882
DMCC6705371,FALSE,vwfa,incongruency,0.11624649859944
DMCC6721369,TRUE,vwfa,incongruency,-0.0820728291316527
DMCC6904377,FALSE,vwfa,incongruency,0.0207282913165266
DMCC7297690,TRUE,vwfa,incongruency,-0.038655462184874
DMCC7921988,TRUE,vwfa,incongruency,-0.0481792717086835
DMCC8033964,TRUE,vwfa,incongruency,0.142016806722689
DMCC8050964,TRUE,vwfa,incongruency,-0.214285714285714
DMCC8078683,FALSE,vwfa,incongruency,-0.0750700280112045
DMCC9441378,TRUE,vwfa,incongruency,0.10672268907563
DMCC9478705,TRUE,vwfa,incongruency,0.150140056022409
DMCC9953810,TRUE,vwfa,incongruency,0.170588235294118
107321,TRUE,vwfa,silhou,-0.065546218487395
115825,FALSE,vwfa,silhou,0.0840336134453782
123117,TRUE,vwfa,silhou,-0.0478991596638656
130114,TRUE,vwfa,silhou,-0.0397759103641457
130518,FALSE,vwfa,silhou,0.0341736694677871
132017,TRUE,vwfa,silhou,0.0252100840336134
138837,TRUE,vwfa,silhou,0.00168067226890756
141422,TRUE,vwfa,silhou,-0.0658263305322129
150423,TRUE,vwfa,silhou,0.0092436974789916
158136,TRUE,vwfa,silhou,0.119327731092437
160830,TRUE,vwfa,silhou,0.113165266106443
161832,TRUE,vwfa,silhou,-0.0266106442577031
165032,TRUE,vwfa,silhou,-0.0126050420168067
171330,TRUE,vwfa,silhou,0.0361344537815126
178243,TRUE,vwfa,silhou,-0.026890756302521
178647,FALSE,vwfa,silhou,-0.00952380952380953
178950,TRUE,vwfa,silhou,0.00784313725490196
182436,TRUE,vwfa,silhou,-0.0226890756302521
197449,TRUE,vwfa,silhou,-0.0635854341736695
203418,TRUE,vwfa,silhou,0.0226890756302521
204319,TRUE,vwfa,silhou,-0.112044817927171
233326,FALSE,vwfa,silhou,0.0112044817927171
300618,TRUE,vwfa,silhou,0.0224089635854342
317332,TRUE,vwfa,silhou,-0.0103641456582633
346945,TRUE,vwfa,silhou,-0.0224089635854342
352738,TRUE,vwfa,silhou,0.0490196078431373
393550,FALSE,vwfa,silhou,0.0546218487394958
448347,TRUE,vwfa,silhou,0.0725490196078432
580650,TRUE,vwfa,silhou,0.0554621848739496
594156,TRUE,vwfa,silhou,-0.0246498599439776
601127,TRUE,vwfa,silhou,-0.0649859943977591
765864,TRUE,vwfa,silhou,-0.0176470588235294
814649,TRUE,vwfa,silhou,-0.0131652661064426
843151,TRUE,vwfa,silhou,-0.0478991596638656
849971,TRUE,vwfa,silhou,0.0260504201680672
873968,TRUE,vwfa,silhou,-0.07703081232493
877168,TRUE,vwfa,silhou,0.00644257703081232
DMCC1328342,FALSE,vwfa,silhou,-0.0148459383753501
DMCC1596165,FALSE,vwfa,silhou,0.0030812324929972
DMCC1971064,TRUE,vwfa,silhou,-0.0184873949579832
DMCC2442951,TRUE,vwfa,silhou,-0.0238095238095238
DMCC2803654,FALSE,vwfa,silhou,-0.0358543417366947
DMCC2834766,FALSE,vwfa,silhou,0.0100840336134454
DMCC3062542,TRUE,vwfa,silhou,-0.0184873949579832
DMCC4191255,FALSE,vwfa,silhou,0.0221288515406162
