subj,is.analysis.group,roi.hemi,roi,hemi,model,y,param,coef,beta
352738,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0133067392935636,0.0318798546043541
352738,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.00456405593358215,0.0109344172421805
352738,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.104395268782974,0.306317021247769
393550,FALSE,Auditory_l,Auditory,l,tdclust,z,target,-0.0115886731236429,-0.0398913905103513
393550,FALSE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.00046181733682199,-0.00158970190383789
393550,FALSE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0224269686622512,-0.0945500292621746
448347,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0655804324930312,0.149272932511118
448347,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0237622482049314,-0.0540871771924358
448347,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.00388167668496877,-0.0108211091293152
580650,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.00770001170446874,0.0160224553997928
580650,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0633047579836793,0.131726768778745
580650,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.00529870843609965,0.0135037173322818
594156,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0364427345910937,0.0993035589366614
594156,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0309323066474724,0.0842880802080336
594156,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.086967621597437,0.290239874727257
601127,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0187110372825731,0.0379937972588732
601127,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0679944925824226,-0.138066582139868
601127,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0742174301498816,-0.184572238223238
765864,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0455091575387648,0.176392388109063
765864,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.00362307570193087,-0.0140429533290994
765864,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0314429403656661,0.149262195579724
814649,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0266959304314435,0.0780025775054547
814649,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0280155341688626,0.0818583147336013
814649,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.109728786750551,0.392672148475573
843151,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0165274710809128,0.0554410791129844
843151,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.00590408655857186,0.0198051431087789
843151,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0600062601736379,-0.246528684981229
849971,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.00164252638760977,0.00611109506656502
849971,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0189789686863924,-0.0706121270153132
849971,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0541356719051715,-0.246681082417943
873968,TRUE,Auditory_l,Auditory,l,tdclust,z,target,-0.0335948337374215,-0.101011119639763
873968,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.00705430808238393,-0.0212105100223099
873968,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0151152022070362,-0.055661676108996
877168,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0607447531123491,0.147117376500607
877168,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0535204147158008,0.129620791900336
877168,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0218077968509605,0.0646863464995608
DMCC1328342,FALSE,Auditory_l,Auditory,l,tdclust,z,target,0.0288344385219296,0.0963985530660746
DMCC1328342,FALSE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0188195414337475,0.062917006766078
DMCC1328342,FALSE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0828605009092359,0.339275266332956
DMCC1596165,FALSE,Auditory_l,Auditory,l,tdclust,z,target,-0.0127112081780949,-0.0407646623300605
DMCC1596165,FALSE,Auditory_l,Auditory,l,tdclust,z,distractor,0.00453911127587788,0.0145568647643275
DMCC1596165,FALSE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0110300749354738,-0.0433232581215002
DMCC1971064,TRUE,Auditory_l,Auditory,l,tdclust,z,target,-0.00497599775638287,-0.0131792344968134
DMCC1971064,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.00430506893597207,-0.0114022384675199
DMCC1971064,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.00341532485384949,0.0110786708008724
DMCC2442951,TRUE,Auditory_l,Auditory,l,tdclust,z,target,-0.00221844340365438,-0.00518993004553458
DMCC2442951,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.00254432490891117,0.00595231244962565
DMCC2442951,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.00538133054217023,-0.0154187245126164
DMCC2803654,FALSE,Auditory_l,Auditory,l,tdclust,z,target,0.0301772883951984,0.0735387523453335
DMCC2803654,FALSE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0209932308688098,0.0511582083046099
DMCC2803654,FALSE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0452025508068423,0.13491014733999
DMCC2834766,FALSE,Auditory_l,Auditory,l,tdclust,z,target,0.017876485327696,0.0471945699392666
DMCC2834766,FALSE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0123895710162391,-0.0327089170563914
DMCC2834766,FALSE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0263561265169967,0.0852191325725046
DMCC3062542,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0316357867927426,0.108747735732365
DMCC3062542,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.00154097397863749,-0.0052970843461931
DMCC3062542,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0265879031244117,-0.111936390982003
DMCC4191255,FALSE,Auditory_l,Auditory,l,tdclust,z,target,-0.000141028422823152,-0.000375343292943769
DMCC4191255,FALSE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0313681091871162,-0.0834853652903425
DMCC4191255,FALSE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0100096579850882,0.0326277314308785
DMCC4260551,FALSE,Auditory_l,Auditory,l,tdclust,z,target,0.00560394216836277,0.0160685932519538
DMCC4260551,FALSE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0266026388958431,0.0762796922243757
