subj,is.analysis.group,roi.hemi,roi,hemi,param,taua
DMCC6721369,TRUE,Default_l,Default,l,target,-0.0117647058823529
DMCC6904377,FALSE,Default_l,Default,l,target,-0.0238095238095238
DMCC7297690,TRUE,Default_l,Default,l,target,0.053781512605042
DMCC7921988,TRUE,Default_l,Default,l,target,0.0439775910364146
DMCC8033964,TRUE,Default_l,Default,l,target,0.0184873949579832
DMCC8050964,TRUE,Default_l,Default,l,target,-0.0252100840336134
DMCC8078683,FALSE,Default_l,Default,l,target,-0.0299719887955182
DMCC9441378,TRUE,Default_l,Default,l,target,0.00168067226890756
DMCC9478705,TRUE,Default_l,Default,l,target,-0.0257703081232493
DMCC9953810,TRUE,Default_l,Default,l,target,-0.0361344537815126
107321,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.011484593837535
115825,FALSE,DorsalAttn_l,DorsalAttn,l,target,-0.0126050420168067
123117,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0330532212885154
130114,TRUE,DorsalAttn_l,DorsalAttn,l,target,-0.0100840336134454
130518,FALSE,DorsalAttn_l,DorsalAttn,l,target,0.0736694677871149
132017,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0246498599439776
138837,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0532212885154062
141422,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.00532212885154062
150423,TRUE,DorsalAttn_l,DorsalAttn,l,target,-0.0140056022408964
158136,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.023249299719888
160830,TRUE,DorsalAttn_l,DorsalAttn,l,target,-0.00560224089635854
161832,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.065266106442577
165032,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0126050420168067
171330,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0030812324929972
178243,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0103641456582633
178647,FALSE,DorsalAttn_l,DorsalAttn,l,target,-0.015406162464986
178950,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0235294117647059
182436,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0128851540616246
197449,TRUE,DorsalAttn_l,DorsalAttn,l,target,-0.0467787114845938
203418,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0602240896358543
204319,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0190476190476191
233326,FALSE,DorsalAttn_l,DorsalAttn,l,target,-0.00812324929971989
300618,TRUE,DorsalAttn_l,DorsalAttn,l,target,-0.0151260504201681
317332,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0168067226890756
346945,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0450980392156863
352738,TRUE,DorsalAttn_l,DorsalAttn,l,target,-0.00224089635854342
393550,FALSE,DorsalAttn_l,DorsalAttn,l,target,-0.0128851540616246
448347,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0641456582633053
580650,TRUE,DorsalAttn_l,DorsalAttn,l,target,-0.00224089635854342
594156,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0330532212885154
601127,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0266106442577031
765864,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0137254901960784
814649,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.00644257703081232
843151,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0798319327731092
849971,TRUE,DorsalAttn_l,DorsalAttn,l,target,-0.0532212885154062
873968,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.00868347338935574
877168,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0316526610644258
DMCC1328342,FALSE,DorsalAttn_l,DorsalAttn,l,target,0.00112044817927171
DMCC1596165,FALSE,DorsalAttn_l,DorsalAttn,l,target,-0.0159663865546218
DMCC1971064,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0117647058823529
DMCC2442951,TRUE,DorsalAttn_l,DorsalAttn,l,target,0.0156862745098039
