subj,is.analysis.group,roi,model,y,param,coef,beta,partr
DMCC6371570,FALSE,anatfunc_ifc_R,tdic,r,target,-0.00403742083935519,-0.011504860314823,-0.0110273418657614
DMCC6371570,FALSE,anatfunc_ifc_R,tdic,r,distractor,-0.00433610315866361,-0.0123559725716022,-0.0118430175465974
DMCC6371570,FALSE,anatfunc_ifc_R,tdic,r,incongruency,-0.00111298754900341,-0.00394452984158238,-0.003806962434565
DMCC6371570,FALSE,anatfunc_ifc_R,tdic,r,congruency,-0.0785347144362507,-0.121934278310567,-0.115218295972679
DMCC6418065,TRUE,anatfunc_ifc_R,tdic,r,target,0.0163327312684819,0.0427763191476953,0.0414201323614275
DMCC6418065,TRUE,anatfunc_ifc_R,tdic,r,distractor,0.0479442386777742,0.125568591147485,0.120800801153052
DMCC6418065,TRUE,anatfunc_ifc_R,tdic,r,incongruency,0.05057966228287,0.164758614213225,0.158729812027534
DMCC6418065,TRUE,anatfunc_ifc_R,tdic,r,congruency,0.0385389727133254,0.054996055601894,0.0528186820922062
DMCC6484785,TRUE,anatfunc_ifc_R,tdic,r,target,0.00753823677348285,0.0302772044036588,0.0290566216877245
DMCC6484785,TRUE,anatfunc_ifc_R,tdic,r,distractor,0.030914896043809,0.124169173078894,0.118375598975903
DMCC6484785,TRUE,anatfunc_ifc_R,tdic,r,incongruency,-0.0087723650934848,-0.0438218095269809,-0.0423237691554033
DMCC6484785,TRUE,anatfunc_ifc_R,tdic,r,congruency,0.0112320982953586,0.0245806694905681,0.0234136500802512
DMCC6661074,TRUE,anatfunc_ifc_R,tdic,r,target,-0.00705815477590669,-0.0403572036377287,-0.0392950795111725
DMCC6661074,TRUE,anatfunc_ifc_R,tdic,r,distractor,-0.0111545588672271,-0.0637796730145929,-0.0620294360379689
DMCC6661074,TRUE,anatfunc_ifc_R,tdic,r,incongruency,0.0260559849359017,0.185295551624223,0.178865878979563
DMCC6661074,TRUE,anatfunc_ifc_R,tdic,r,congruency,0.0373182686526018,0.116262106886034,0.111723634311891
DMCC6671683,TRUE,anatfunc_ifc_R,tdic,r,target,0.0232532977147737,0.0665119283679958,0.0654575734325218
DMCC6671683,TRUE,anatfunc_ifc_R,tdic,r,distractor,-0.0421332898232144,-0.120514792740523,-0.118028487676911
DMCC6671683,TRUE,anatfunc_ifc_R,tdic,r,incongruency,-0.0441873515040769,-0.157195666498704,-0.154232563883566
DMCC6671683,TRUE,anatfunc_ifc_R,tdic,r,congruency,0.0700620591113641,0.109190460592838,0.10626570678795
DMCC6705371,FALSE,anatfunc_ifc_R,tdic,r,target,-0.00612777354344244,-0.0177509480371278,-0.0175026387805197
DMCC6705371,FALSE,anatfunc_ifc_R,tdic,r,distractor,-0.0168950093347794,-0.0489415006384161,-0.0482081590354864
DMCC6705371,FALSE,anatfunc_ifc_R,tdic,r,incongruency,0.0599476309689152,0.215982458768038,0.209687992396017
DMCC6705371,FALSE,anatfunc_ifc_R,tdic,r,congruency,-0.0607519958558732,-0.0958884302642609,-0.0934313357827512
DMCC6721369,TRUE,anatfunc_ifc_R,tdic,r,target,0.00412213513508384,0.0337550087837984,0.0325622218366406
DMCC6721369,TRUE,anatfunc_ifc_R,tdic,r,distractor,0.0144134414792576,0.11802763077713,0.1131853011693
DMCC6721369,TRUE,anatfunc_ifc_R,tdic,r,incongruency,-0.00888220748777086,-0.0904616541065579,-0.0875728669123724
DMCC6721369,TRUE,anatfunc_ifc_R,tdic,r,congruency,0.0146847691696723,0.0655194039688809,0.0626331583207942
DMCC6904377,FALSE,anatfunc_ifc_R,tdic,r,target,0.0309957095341351,0.0811273285721354,0.083442833115181
DMCC6904377,FALSE,anatfunc_ifc_R,tdic,r,distractor,-0.00262534043944324,-0.00687149478575014,-0.00709217404951606
DMCC6904377,FALSE,anatfunc_ifc_R,tdic,r,incongruency,0.115572384917559,0.376224677559563,0.364139126309341
DMCC6904377,FALSE,anatfunc_ifc_R,tdic,r,congruency,-0.0127004663793037,-0.0181122363050313,-0.0185489003269575
DMCC7297690,TRUE,anatfunc_ifc_R,tdic,r,target,0.0163254360225175,0.0720378464395067,0.0689004553426427
DMCC7297690,TRUE,anatfunc_ifc_R,tdic,r,distractor,-0.00247322236927803,-0.0109133754836969,-0.0104623684392499
DMCC7297690,TRUE,anatfunc_ifc_R,tdic,r,incongruency,0.0123971703905688,0.06803714988715,0.0655355210671988
DMCC7297690,TRUE,anatfunc_ifc_R,tdic,r,congruency,-0.0199292929246034,-0.0479153468089552,-0.0455407550264415
DMCC7921988,TRUE,anatfunc_ifc_R,tdic,r,target,-0.0126988530520864,-0.0286614232141955,-0.0278907974318526
DMCC7921988,TRUE,anatfunc_ifc_R,tdic,r,distractor,0.022517003618374,0.0508210755392393,0.049413448166628
DMCC7921988,TRUE,anatfunc_ifc_R,tdic,r,incongruency,-0.0324138438536099,-0.0909895255054153,-0.0888328904184758
DMCC7921988,TRUE,anatfunc_ifc_R,tdic,r,congruency,0.128783847127342,0.158373116261139,0.15124138656524
DMCC8033964,TRUE,anatfunc_ifc_R,tdic,r,target,0.0358024868258544,0.258978201364592,0.248815401718371
DMCC8033964,TRUE,anatfunc_ifc_R,tdic,r,distractor,0.000962569470534908,0.00696277080919313,0.00690658451198253
DMCC8033964,TRUE,anatfunc_ifc_R,tdic,r,incongruency,0.0156308789883624,0.140624511846296,0.139085352541265
DMCC8033964,TRUE,anatfunc_ifc_R,tdic,r,congruency,0.0269217367373187,0.106105990349827,0.10388598622417
DMCC8050964,TRUE,anatfunc_ifc_R,tdic,r,target,0.00518685833529137,0.0237093311900222,0.0230474509725232
DMCC8050964,TRUE,anatfunc_ifc_R,tdic,r,distractor,-0.0130194292880708,-0.0595123176578143,-0.0577696759207226
DMCC8050964,TRUE,anatfunc_ifc_R,tdic,r,incongruency,-0.0268508387347961,-0.152651256423885,-0.147806456037762
DMCC8050964,TRUE,anatfunc_ifc_R,tdic,r,congruency,0.0339269456397327,0.0844980123359275,0.081265903352175
DMCC8078683,FALSE,anatfunc_ifc_R,tdic,r,target,0.0190309263699603,0.0663847669580335,0.0639303391030613
DMCC8078683,FALSE,anatfunc_ifc_R,tdic,r,distractor,0.00443248945005688,0.0154616634768992,0.0149188645789752
DMCC8078683,FALSE,anatfunc_ifc_R,tdic,r,incongruency,-0.0347566924049468,-0.150790699814482,-0.144964325879755
