roi,subj,n.silent
43_L,107321,
OP4_L,107321,
OP1_L,107321,
OP2-3_L,107321,
52_L,107321,
RI_L,107321,
PFcm_L,107321,
PoI2_L,107321,
TA2_L,107321,
FOP4_L,107321,
MI_L,107321,
Pir_L,107321,
AVI_L,107321,
AAIC_L,107321,
FOP1_L,107321,
FOP3_L,107321,
FOP2_L,107321,
PFt_L,107321,
AIP_L,107321,
EC_L,107321,
PreS_L,107321,
H_L,107321,
ProS_L,107321,
PeEc_L,107321,
STGa_L,107321,
PBelt_L,107321,
A5_L,107321,
PHA1_L,107321,
PHA3_L,107321,
STSda_L,107321,
STSdp_L,107321,
STSvp_L,107321,
TGd_L,107321,
TE1a_L,107321,
TE1p_L,107321,
TE2a_L,107321,
TF_L,107321,
TE2p_L,107321,
PHT_L,107321,
PH_L,107321,
TPOJ1_L,107321,
TPOJ2_L,107321,
TPOJ3_L,107321,
DVT_L,107321,
PGp_L,107321,
IP2_L,107321,
IP1_L,107321,
IP0_L,107321,
PFop_L,107321,
PF_L,107321,
PFm_L,107321,
PGi_L,107321,
PGs_L,107321,
V6A_L,107321,
VMV1_L,107321,
VMV3_L,107321,
PHA2_L,107321,
V4t_L,107321,
FST_L,107321,
V3CD_L,107321,
LO3_L,107321,
VMV2_L,107321,
31pd_L,107321,
31a_L,107321,
VVC_L,107321,
25_L,107321,
s32_L,107321,
pOFC_L,107321,
PoI1_L,107321,
Ig_L,107321,
FOP5_L,107321,
p10p_L,107321,
p47r_L,107321,
TGv_L,107321,
MBelt_L,107321,
LBelt_L,107321,
A4_L,107321,
STSva_L,107321,
TE1m_L,107321,
PI_L,107321,
a32pr_L,107321,
p24_L,107321,0
V1_R,115825,
MST_R,115825,
V6_R,115825,
V2_R,115825,
V3_R,115825,
V4_R,115825,
V8_R,115825,
4_R,115825,
3b_R,115825,
FEF_R,115825,
PEF_R,115825,
55b_R,115825,
V3A_R,115825,
RSC_R,115825,
POS2_R,115825,
V7_R,115825,
IPS1_R,115825,
FFC_R,115825,
V3B_R,115825,
LO1_R,115825,
LO2_R,115825,
PIT_R,115825,
MT_R,115825,
A1_R,115825,
PSL_R,115825,
SFL_R,115825,
PCV_R,115825,
STV_R,115825,
7Pm_R,115825,
7m_R,115825,
POS1_R,115825,
23d_R,115825,
v23ab_R,115825,
d23ab_R,115825,
31pv_R,115825,
5m_R,115825,
5mv_R,115825,
23c_R,115825,
5L_R,115825,
24dd_R,115825,
24dv_R,115825,
7AL_R,115825,
SCEF_R,115825,
6ma_R,115825,
7Am_R,115825,
7PL_R,115825,
7PC_R,115825,
LIPv_R,115825,
VIP_R,115825,
MIP_R,115825,
1_R,115825,
2_R,115825,
3a_R,115825,
6d_R,115825,
6mp_R,115825,
6v_R,115825,
p24pr_R,115825,
33pr_R,115825,
a24pr_R,115825,
p32pr_R,115825,
a24_R,115825,
d32_R,115825,
8BM_R,115825,
p32_R,115825,
10r_R,115825,
47m_R,115825,
8Av_R,115825,
8Ad_R,115825,
9m_R,115825,
8BL_R,115825,
9p_R,115825,
10d_R,115825,
8C_R,115825,
44_R,115825,
45_R,115825,
47l_R,115825,
a47r_R,115825,
6r_R,115825,
IFJa_R,115825,
IFJp_R,115825,
IFSp_R,115825,
IFSa_R,115825,
p9-46v_R,115825,
46_R,115825,
a9-46v_R,115825,
9-46d_R,115825,
9a_R,115825,
