"parcel","$\bar\beta$","v","p","network","md"
"7PC\textunderscore R",0.0376592650687753,957,0.00252248991962034,"Somatomotor",""
"MI\textunderscore R",0.0440928005142952,957,0.00252248991962034,"Cingulo-Opercular",""
"SCEF\textunderscore L",0.0335537779810504,956,0.00254618836041598,"Cingulo-Opercular","core"
"23c\textunderscore L",0.0472530168693259,953,0.00279642815230075,"Cingulo-Opercular",""
"FOP5\textunderscore L",0.0479148875534682,952,0.0028266582428994,"Cingulo-Opercular","penumbra"
"TGv\textunderscore R",0.0356309826280075,951,0.00285940434264919,"Language",""
"a32pr\textunderscore R",0.0405895526469322,950,0.00289459352282506,"Cingulo-Opercular","penumbra"
"6d\textunderscore L",0.0411346314999753,949,0.00293216503637339,"Somatomotor",""
"7PC\textunderscore L",0.0418675127947264,947,0.00309573047406051,"Somatomotor",""
"A4\textunderscore R",0.0387805897796386,945,0.00318503105227399,"Auditory",""
"AIP\textunderscore R",0.045681792972952,945,0.00318503105227399,"Dorsal-Attention","penumbra"
"IP0\textunderscore R",0.0420177830162594,943,0.00328359194091411,"Dorsal-Attention",""
"MBelt\textunderscore R",0.0395957129998392,943,0.00328359194091411,"Auditory",""
"STSda\textunderscore L",0.0477267129628145,942,0.00333629708554741,"Language",""
"MI\textunderscore L",0.0309111373828213,941,0.00339127143940008,"Cingulo-Opercular",""
"FOP4\textunderscore R",0.045916939819549,938,0.00371283837904673,"Cingulo-Opercular",""
"SCEF\textunderscore R",0.0448622931262422,937,0.00371283837904673,"Cingulo-Opercular","core"
"TGd\textunderscore R",0.0386694434006097,937,0.00371283837904673,"Default",""
"PBelt\textunderscore R",0.0516595471076958,936,0.00376882759038684,"Auditory",""
"47l\textunderscore L",0.0346847246030026,935,0.00376882759038684,"Default",""
"VVC\textunderscore L",0.0391604476544,935,0.00376882759038684,"Visual2",""
"5m\textunderscore L",0.0427566234410269,934,0.00383784866339755,"Somatomotor",""
"6ma\textunderscore R",0.0377702634746857,933,0.00383784866339755,"Cingulo-Opercular",""
"V3B\textunderscore L",0.0351228368776738,933,0.00383784866339755,"Visual2",""
"6r\textunderscore R",0.0419545885778292,932,0.00391351193926775,"Cingulo-Opercular","penumbra"
"6v\textunderscore L",0.0359941155925061,931,0.00399152037176738,"Somatomotor",""
"6a\textunderscore R",0.027232566585849,930,0.00407190316918166,"Dorsal-Attention",""
"a10p\textunderscore R",0.0284368614576596,928,0.00423991827219457,"Frontoparietal","penumbra"
"POS2\textunderscore R",0.0419353275774755,928,0.00423991827219457,"Frontoparietal","penumbra"
"2\textunderscore L",0.0399052687465221,927,0.0043276183049581,"Somatomotor",""
"DVT\textunderscore R",0.0353204345177507,923,0.00494308485641775,"Visual1",""
"PGi\textunderscore L",0.0344906923390275,920,0.0054318620948699,"Default",""
"9p\textunderscore L",0.0426471957577331,919,0.00554286768884258,"Default",""
"p32pr\textunderscore R",0.0368434031435761,917,0.00586710854862197,"Cingulo-Opercular",""
"FOP4\textunderscore L",0.0292436490144477,916,0.00598773744530133,"Cingulo-Opercular",""
"IP1\textunderscore R",0.0387350858379667,915,0.00611156210724162,"Frontoparietal","core"
"8BM\textunderscore R",0.0483252646583976,912,0.00660123758483425,"Frontoparietal","core"
"PFm\textunderscore R",0.0344605658965016,912,0.00660123758483425,"Frontoparietal","core"
"OP2-3\textunderscore L",0.0344250595037311,910,0.00698280180175947,"Somatomotor",""
"6mp\textunderscore L",0.0362743745438604,909,0.00712815124113299,"Somatomotor",""
"FOP3\textunderscore R",0.0372649514474944,908,0.00717318081975346,"Cingulo-Opercular",""
"V4t\textunderscore L",0.0338870471917531,908,0.00717318081975346,"Visual2",""
"OP4\textunderscore R",0.0364992345370483,907,0.00732518078406406,"Somatomotor",""
"d32\textunderscore R",0.0361934722329516,906,0.00737842670508106,"Frontoparietal","penumbra"
"VVC\textunderscore R",0.0372669118511611,906,0.00737842670508106,"Visual2",""
"43\textunderscore L",0.0317208203094116,905,0.00743667024703143,"Cingulo-Opercular",""
"TGd\textunderscore L",0.0368494165722905,905,0.00743667024703143,"Default",""
"IFSp\textunderscore R",0.0435284821954226,904,0.00759841062081104,"Frontoparietal",""
"47s\textunderscore L",0.0371079698735439,903,0.00776400427190852,"Default",""
"PBelt\textunderscore L",0.0352720878059851,902,0.00793351733005756,"Auditory",""
"45\textunderscore L",0.0350476552099921,899,0.00846625218421259,"Language",""
"TA2\textunderscore L",0.031714927667839,899,0.00846625218421259,"Auditory",""
"V6A\textunderscore R",0.0298213296473504,899,0.00846625218421259,"Visual2",""
"a24pr\textunderscore R",0.0281894367976096,897,0.00895010419987083,"Cingulo-Opercular",""
"d32\textunderscore L",0.0301940774667383,896,0.00914563279174617,"Default","penumbra"
"44\textunderscore R",0.0335691347608968,895,0.00934560434185526,"Frontoparietal",""
"FEF\textunderscore L",0.0369791782580324,893,0.0097591787093314,"Cingulo-Opercular",""
"IFJa\textunderscore R",0.0434173900121205,893,0.0097591787093314,"Language",""
"VIP\textunderscore L",0.0331327522984067,892,0.00997293554415143,"Visual2",""
"24dd\textunderscore L",0.038126769617742,891,0.0100769327486309,"Somatomotor",""
"47m\textunderscore R",0.0302561195131694,891,0.0100769327486309,"Default",""
"AVI\textunderscore R",0.0282877550045041,890,0.0102990621028454,"Frontoparietal","core"
"31pv\textunderscore R",0.0371443227236217,889,0.0104116618179517,"Default",""
"FOP5\textunderscore R",0.0458878902176255,889,0.0104116618179517,"Cingulo-Opercular","penumbra"
"TE2a\textunderscore L",0.0345867417398516,886,0.0113580772826198,"Default",""
"FOP1\textunderscore R",0.0292923919103034,885,0.0113649957907169,"Cingulo-Opercular",""
"FOP3\textunderscore L",0.0393930871131596,885,0.0113649957907169,"Cingulo-Opercular",""
"TPOJ1\textunderscore L",0.032991241763641,885,0.0113649957907169,"Language",""
"24dv\textunderscore R",0.0343758061170919,884,0.0116163093106082,"Somatomotor",""
"AVI\textunderscore L",0.0344657010671172,883,0.0116638518854038,"Frontoparietal","core"
"PoI2\textunderscore L",0.0357264479350295,883,0.0116638518854038,"Cingulo-Opercular",""
"FOP1\textunderscore L",0.030724842304021,882,0.0116638518854038,"Cingulo-Opercular",""
"TA2\textunderscore R",0.0249569538548078,882,0.0116638518854038,"Auditory",""
"TE1a\textunderscore R",0.0373081378811776,882,0.0116638518854038,"Default",""
"TE2p\textunderscore L",0.0333829888289099,882,0.0116638518854038,"Dorsal-Attention",""
"V7\textunderscore L",0.0320412566964877,880,0.0123104402101278,"Visual2",""
"10d\textunderscore L",0.0310528038119917,879,0.012349745543376,"Default",""
