id,r.line,r.rank,r2.line,r2.rank,t0_line,lower_line,upper_line,p.leq0_line,t0_rank,lower_rank,upper_rank,p.leq0_rank,p.geq0_line,p.geq0_rank
dmfc_L_distractor,-0.0312065410851512,-0.0770408163265306,0.000973848206499232,0.00593528738025823,-0.0312065410851512,-0.292633072961401,0.244033344642392,0.4004,-0.0770408163265306,-0.369341919279459,0.240509992037838,0.313,0.5996,0.687
dmfc_L_incongruency,0.259160285783279,0.171734693877551,0.0671640537272706,0.0294928050812162,0.259160285783279,-0.0156914478584538,0.488652592816839,0.9702,0.171734693877551,-0.121541539219784,0.436372895890772,0.8713,0.0298000000000001,0.1287
dmfc_L_target,0.0723507373472799,0.143571428571429,0.00523462919469508,0.0206127551020408,0.0723507373472799,-0.253607613987595,0.369439785063959,0.685,0.143571428571429,-0.190110275290848,0.442610678138459,0.8145,0.315,0.1855
dmfc_R_distractor,-0.0408849994812274,0.0348979591836735,0.00167158318257997,0.00121786755518534,-0.0408849994812274,-0.329743030951613,0.243407537510512,0.3944,0.0348979591836735,-0.266663294278417,0.333871151503292,0.5873,0.6056,0.4127
dmfc_R_incongruency,-0.00158680618008443,-0.104795918367347,2.51795385315414e-06,0.0109821845064556,-0.00158680618008443,-0.217310744031346,0.224963229969924,0.4871,-0.104795918367347,-0.364965052626462,0.166224252655171,0.2293,0.5129,0.7707
dmfc_R_target,-0.0593724484121028,0.0435714285714286,0.00352508763044781,0.0018984693877551,-0.0593724484121028,-0.37652379400424,0.29357774247514,0.3634,0.0435714285714286,-0.286309292305279,0.33959496847694,0.6062,0.6366,0.3938
dpm_L_distractor,-0.0847062035997511,-0.0298979591836735,0.00717514092828248,0.000893887963348605,-0.0847062035997511,-0.396442623468943,0.221130790892756,0.3053,-0.0298979591836735,-0.344182276221624,0.272104853874473,0.4294,0.6947,0.5706
dpm_L_incongruency,0.0465511137909699,0.03,0.00216700619517983,9e-04,0.0465511137909699,-0.230473512285761,0.319044655752315,0.6348,0.03,-0.279298014484775,0.332349261289047,0.5836,0.3652,0.4164
dpm_L_target,-0.236551629461482,-0.228877551020408,0.0559566734008821,0.0523849333610995,-0.236551629461482,-0.462164200136636,-0.00618171675954705,0.0275,-0.228877551020408,-0.469688944685748,0.0487797891847651,0.0486,0.9725,0.9514
dpm_R_distractor,-0.0218354076997157,0.0138775510204082,0.000476785029412802,0.000192586422324032,-0.0218354076997157,-0.355233952726241,0.297851330350308,0.4545,0.0138775510204082,-0.284900366507188,0.320845168729143,0.5237,0.5455,0.4763
