param,roi,du,dl,p
incongruency,p24_L,0.0696472844062566,0.000119805714378529,0.0696472844062566
incongruency,p24_R,0.217666520098078,1.77263905083436e-05,0.217666520098078
incongruency,p24pr_L,0.0213712272626783,0.00184101604037146,0.0213712272626783
incongruency,p24pr_R,0.0203431454178773,0.00344521991298485,0.0203431454178773
incongruency,p32_L,0.00635526263057074,0.00824535301051555,0.00824535301051555
incongruency,p32_R,0.00617051471254904,0.029152735797064,0.029152735797064
incongruency,p32pr_L,0.197798084276709,6.42748308443686e-06,0.197798084276709
incongruency,p32pr_R,0.745776818688308,1.03268216733454e-06,0.745776818688308
incongruency,p47r_L,0.0399671962959172,1.91050362019496e-06,0.0399671962959172
incongruency,p47r_R,0.0537630450714311,0.000421484656790483,0.0537630450714311
incongruency,p9-46v_L,0.353939770898299,1.49831831741665e-06,0.353939770898299
incongruency,p9-46v_R,0.171359213666216,0.000104820054517063,0.171359213666216
incongruency,PBelt_L,0.0073527037260881,0.00470697277992827,0.0073527037260881
incongruency,PBelt_R,0.00416059627907117,0.0073527037260881,0.0073527037260881
incongruency,PCV_L,0.283578805028114,8.00780580867411e-06,0.283578805028114
incongruency,PCV_R,0.251060849863633,3.40492488426492e-05,0.251060849863633
incongruency,PeEc_L,0.00333715762276832,0.00344521991298485,0.00344521991298485
incongruency,PeEc_R,0.00190490674144783,0.0213712272626783,0.0213712272626783
incongruency,PEF_L,0.441227788354864,1.79855907411764e-06,0.441227788354864
incongruency,PEF_R,0.350276222879408,6.42748308443686e-06,0.350276222879408
incongruency,PF_L,0.131780201644117,9.15719602296861e-05,0.131780201644117
incongruency,PF_R,0.383701812137625,1.16694743628187e-05,0.383701812137625
incongruency,PFcm_L,0.0780764995461354,0.00104785405292773,0.0780764995461354
incongruency,PFcm_R,0.0121416169194042,0.00403301363050446,0.0121416169194042
incongruency,PFm_L,0.106051165153806,9.15719602296861e-05,0.106051165153806
incongruency,PFm_R,0.0526687776327997,0.000125221568620049,0.0526687776327997
incongruency,PFop_L,0.0118190337288002,0.0108946754268988,0.0118190337288002
incongruency,PFop_R,0.0150018731966721,0.00284039680871295,0.0150018731966721
incongruency,PFt_L,0.046463109346826,0.000533304643973054,0.046463109346826
incongruency,PFt_R,0.217666520098078,4.55331475190946e-05,0.217666520098078
incongruency,PGi_L,0.0454872536963169,0.00112641964097016,0.0454872536963169
incongruency,PGi_R,0.0175025845120551,0.000318172298722885,0.0175025845120551
incongruency,PGp_L,0.254223181311692,3.2418472024176e-05,0.254223181311692
incongruency,PGp_R,0.361306538916807,2.02891414957662e-06,0.361306538916807
incongruency,PGs_L,0.0445276387188542,0.00087251676949407,0.0445276387188542
incongruency,PGs_R,0.0382507139831301,0.000533304643973054,0.0382507139831301
incongruency,PH_L,0.133920859101984,0.000421484656790483,0.133920859101984
incongruency,PH_R,0.0044264120149311,0.0056439597392739,0.0056439597392739
incongruency,PHA1_L,0.0989047429701788,0.00016270831672216,0.0989047429701788
incongruency,PHA1_R,0.0179515305423657,0.00303066554419118,0.0179515305423657
incongruency,PHA2_L,0.0766212510782385,6.64154241025728e-05,0.0766212510782385
incongruency,PHA2_R,0.00801386928272408,0.00756765433181173,0.00801386928272408
incongruency,PHA3_L,0.140482966040366,2.6590321951403e-05,0.140482966040366
incongruency,PHA3_R,0.0399671962959172,0.00218064101309956,0.0399671962959172
incongruency,PHT_L,0.263831739721239,3.94069849232182e-05,0.263831739721239
incongruency,PHT_R,0.0259235301005525,0.00303066554419118,0.0259235301005525
incongruency,PI_L,0.00210857644920814,0.0142382921514805,0.0142382921514805
incongruency,PI_R,0.129662835913576,0.000281418814719103,0.129662835913576
incongruency,Pir_L,0.0872426222230623,0.00016270831672216,0.0872426222230623
incongruency,Pir_R,0.00177903986971195,0.0515919280837682,0.0515919280837682
incongruency,PIT_L,0.000751764235129571,0.0971734764527383,0.0971734764527383
incongruency,PIT_R,0.0259235301005525,0.00515693776175752,0.0259235301005525
incongruency,pOFC_L,0.00403301363050446,0.0150018731966721,0.0150018731966721
incongruency,pOFC_R,0.000646285340401676,0.10423116066667,0.10423116066667
incongruency,PoI1_L,0.0537630450714311,0.000576155924392197,0.0537630450714311
incongruency,PoI1_R,0.0108946754268988,0.00922975698965623,0.0108946754268988
incongruency,PoI2_L,0.00756765433181173,0.0056439597392739,0.00756765433181173
incongruency,PoI2_R,0.0135077955725702,0.000512979310913764,0.0135077955725702
incongruency,POS1_L,0.37619009589649,4.09754368924098e-06,0.37619009589649
incongruency,POS1_R,0.119423689447567,0.000389234659980531,0.119423689447567
incongruency,POS2_L,0.0166328530388942,0.00129957700199412,0.0166328530388942
incongruency,POS2_R,0.00635526263057074,0.0224420186141146,0.0224420186141146
incongruency,PreS_L,0.113556258906613,2.52931065283235e-05,0.113556258906613
incongruency,PreS_R,0.00344521991298485,0.0278237818331224,0.0278237818331224
