"effect.size" "hit.rate"
"412" 0.411 0.8692
"413" 0.412 0.8684
"414" 0.413 0.8676
"415" 0.414 0.867
"416" 0.415 0.8752
"417" 0.416 0.876
"418" 0.417 0.8744
"419" 0.418 0.8878
"420" 0.419 0.8842
"421" 0.42 0.889
"422" 0.421 0.8776
"423" 0.422 0.8848
"424" 0.423 0.884
"425" 0.424 0.8904
"426" 0.425 0.8952
"427" 0.426 0.8868
"428" 0.427 0.8992
"429" 0.428 0.8902
"430" 0.429 0.8882
"431" 0.43 0.8968
"432" 0.431 0.8928
"433" 0.432 0.9022
"434" 0.433 0.8932
"435" 0.434 0.8944
"436" 0.435 0.9012
"437" 0.436 0.9084
"438" 0.437 0.9104
"439" 0.438 0.904
"440" 0.439 0.9066
"441" 0.44 0.903
"442" 0.441 0.908
"443" 0.442 0.9116
"444" 0.443 0.9116
"445" 0.444 0.9128
"446" 0.445 0.9116
"447" 0.446 0.9086
"448" 0.447 0.9132
"449" 0.448 0.913
"450" 0.449 0.9112
"451" 0.45 0.9134
"452" 0.451 0.92
"453" 0.452 0.921
"454" 0.453 0.9196
"455" 0.454 0.9286
"456" 0.455 0.9164
"457" 0.456 0.925
"458" 0.457 0.9276
"459" 0.458 0.9276
"460" 0.459 0.92
"461" 0.46 0.9276
"462" 0.461 0.9344
"463" 0.462 0.9316
"464" 0.463 0.9316
"465" 0.464 0.9286
"466" 0.465 0.9354
"467" 0.466 0.9328
"468" 0.467 0.9318
"469" 0.468 0.9314
"470" 0.469 0.9346
"471" 0.47 0.9426
"472" 0.471 0.932
"473" 0.472 0.9336
"474" 0.473 0.9394
"475" 0.474 0.9424
"476" 0.475 0.9418
"477" 0.476 0.9444
"478" 0.477 0.9336
"479" 0.478 0.946
"480" 0.479 0.9432
"481" 0.48 0.94
"482" 0.481 0.945
"483" 0.482 0.941
"484" 0.483 0.9466
"485" 0.484 0.9448
"486" 0.485 0.9472
"487" 0.486 0.942
"488" 0.487 0.9542
"489" 0.488 0.9482
"490" 0.489 0.9508
"491" 0.49 0.9536
"492" 0.491 0.9544
"493" 0.492 0.954
"494" 0.493 0.9422
"495" 0.494 0.9542
"496" 0.495 0.9532
"497" 0.496 0.9596
"498" 0.497 0.9522
"499" 0.498 0.9544
"500" 0.499 0.957
"501" 0.5 0.9576
